country,date,unemployment
IT,1986-04,8.7
NL,1986-04,7.7
PT,1986-04,9.9
BE,1986-04,10.1
ES,1986-04,20.0
IT,1986-04,8.7
NL,1986-04,7.7
PT,1986-04,9.9
BE,1986-05,9.6
ES,1986-05,20.6
IT,1986-05,8.6
NL,1986-05,7.5
BE,1986-05,10.1
ES,1986-05,20.5
FR,1986-05,8.8
IT,1986-05,8.8
NL,1986-05,7.6
PT,1986-05,9.8
BE,1986-05,10.1
ES,1986-05,20.1
IT,1986-05,8.8
NL,1986-05,7.6
PT,1986-05,9.8
BE,1986-06,9.4
ES,1986-06,20.3
IT,1986-06,8.6
NL,1986-06,7.6
BE,1986-06,10.1
ES,1986-06,20.4
FR,1986-06,8.8
IT,1986-06,8.8
NL,1986-06,7.6
PT,1986-06,9.7
BE,1986-06,10.1
ES,1986-06,20.1
IT,1986-06,8.9
NL,1986-06,7.6
PT,1986-06,9.7
BE,1986-07,9.8
ES,1986-07,20.1
IT,1986-07,8.6
NL,1986-07,6.9
BE,1986-07,10.0
ES,1986-07,20.4
FR,1986-07,8.9
IT,1986-07,8.9
NL,1986-07,7.6
PT,1986-07,9.4
BE,1986-07,10.0
ES,1986-07,20.2
IT,1986-07,8.9
NL,1986-07,7.6
PT,1986-07,9.5
BE,1986-08,10.2
ES,1986-08,19.9
IT,1986-08,8.7
NL,1986-08,7.0
BE,1986-08,9.9
ES,1986-08,20.3
FR,1986-08,8.9
IT,1986-08,9.0
NL,1986-08,7.5
PT,1986-08,9.2
BE,1986-08,9.9
ES,1986-08,20.2
IT,1986-08,9.0
NL,1986-08,7.5
PT,1986-08,9.2
BE,1986-09,10.3
ES,1986-09,20.0
IT,1986-09,9.0
NL,1986-09,7.4
BE,1986-09,9.9
ES,1986-09,20.3
FR,1986-09,9.0
IT,1986-09,9.1
NL,1986-09,7.5
PT,1986-09,9.0
BE,1986-09,9.9
ES,1986-09,20.2
IT,1986-09,9.1
NL,1986-09,7.5
PT,1986-09,9.1
BE,1986-10,10.4
ES,1986-10,20.0
IT,1986-10,9.3
NL,1986-10,7.5
BE,1986-10,10.0
ES,1986-10,20.2
FR,1986-10,9.2
IT,1986-10,9.1
NL,1986-10,7.5
PT,1986-10,9.0
BE,1986-10,10.0
ES,1986-10,20.2
IT,1986-10,9.1
NL,1986-10,7.5
PT,1986-10,9.0
BE,1986-11,10.3
ES,1986-11,20.1
IT,1986-11,9.3
NL,1986-11,7.5
BE,1986-11,10.1
ES,1986-11,20.3
FR,1986-11,9.2
IT,1986-11,9.1
NL,1986-11,7.4
PT,1986-11,8.9
BE,1986-11,10.1
ES,1986-11,20.2
IT,1986-11,9.2
NL,1986-11,7.4
PT,1986-11,8.9
BE,1986-12,10.3
ES,1986-12,20.1
IT,1986-12,9.3
NL,1986-12,7.0
BE,1986-12,10.1
ES,1986-12,20.2
FR,1986-12,9.2
IT,1986-12,9.2
NL,1986-12,7.4
PT,1986-12,8.9
BE,1986-12,10.1
ES,1986-12,20.2
IT,1986-12,9.2
NL,1986-12,7.4
PT,1986-12,8.9
BE,1987-01,10.3
ES,1987-01,20.4
IT,1987-01,9.5
NL,1987-01,7.8
BE,1987-01,10.1
ES,1987-01,20.2
FR,1987-01,9.3
IT,1987-01,9.2
NL,1987-01,7.4
PT,1987-01,8.7
BE,1987-01,10.1
ES,1987-01,20.2
IT,1987-01,9.3
NL,1987-01,7.4
PT,1987-01,8.7
BE,1987-02,10.1
ES,1987-02,20.4
IT,1987-02,9.5
NL,1987-02,8.0
BE,1987-02,10.0
ES,1987-02,20.1
FR,1987-02,9.3
IT,1987-02,9.3
